word,meaning,phonetic,example,example_cn
particular,特别的，挑剔的；特殊的；特定的,,Is there a particular color you prefer?,你有什么特别偏好的颜色吗？
particularly,特别， 尤其；特别，尤其，格外,,I particularly enjoyed the movie ending.,我尤其喜欢这部电影的结局。
partly,部分地，不完全地,,The house was partly destroyed by the storm.,房子被暴风雨部分摧毁了。
partner,伙伴，合伙人，搭档，配偶；伙伴；搭挡；配偶；做…的搭档,,She is my business partner.,她是我的商业伙伴。
party,党，党派；聚会,,We had a party for his birthday.,我们为他的生日举办了一个聚会。
pass,经过；通过；度过,,Please pass me the salt.,请把盐递给我。
passage,通过；通路，通道,,We walked through a narrow passage between the buildings.,我们穿过建筑物之间的一条狭窄通道。
passenger,乘客，旅客，过路人,,The bus can carry fifty passengers.,这辆公交车可载五十名乘客。
passion,激情， 热情； 酷爱；激情，热情；爱好；热情，激情,,She has a passion for music.,她对音乐充满热情。
passionate,热情的,,He is a passionate supporter of the football team.,他是这支足球队的热情支持者。
passive,被动的；被动的， 消极的；被动的；消极的,,He took a passive role in the conversation.,他在对话中扮演了被动的角色。
passively,消极地,,She passively accepted the decision without arguing.,她没有争辩，消极地接受了决定。
passport,护照,,You need a passport to travel abroad.,你出国旅行需要护照。
past,过去；过去的,,"In the past, people wrote letters by hand.",过去，人们用手写信。
paste,粘， 贴；糊，糨糊；糊，酱；浆湖,,She cut out the picture and pasted it in her notebook.,她剪下图片贴在笔记本上。
pat,轻拍；非常恰当的， 适时的,,She gave the dog a gentle pat on the head.,她轻轻拍了拍狗的头。
patch,补丁；斑，与周围不同的部分；一小块地；补缀；补钉；碎片；补， 修补,,He sewed a patch onto his old jeans.,他在旧牛仔裤上缝了一个补丁。
path,路，小道；道路,,Follow the path through the forest.,沿着穿过森林的小路走。
patience,忍耐， 耐心；忍耐，容忍，耐心,,You need a lot of patience to learn a new language.,学习一门新语言需要很大的耐心。
patient,忍耐的；忍耐的，有耐心的；病人,,You need to be patient when waiting for the bus.,等公交车时你需要有耐心。
patiently,耐心地,,The students waited patiently for the teacher.,学生们耐心地等待老师。
pattern,仿制， 使照…样子；型，式样，模型；型，式样，模，模型；模式,,The wallpaper has a nice flower pattern.,墙纸有一个漂亮的花纹。
pause,中止，暂停,,Please pause the video so I can take a note.,请暂停视频，让我做个笔记。
paw,爪子；用爪子抓， 用蹄扒； 翻找；脚爪，爪子,,The dog lifted its paw to shake hands.,狗抬起爪子来握手。
pay,支付；付给；给予,,I need to pay the bill before we leave.,我们离开前我需要付账。
payment,支付， 支付的款项；支付，支付的款项,,You can make a payment online.,你可以在线付款。
pea,豌豆；豌豆；豌豆属植物,,I do not like eating peas.,我不喜欢吃豌豆。
peace,和平；和睦；平静,,Let us work together in peace.,让我们和睦地一起工作。
peaceful,和平的；安静的；平静的，和平的,,The garden is a peaceful place to read.,这个花园是一个安静的读书场所。
peach,桃子，桃树,,This peach is very sweet.,这个桃子很甜。
peak,山顶，巅；山顶，顶点；最大值的，高峰的；最高的；达到高峰， 达到最大值,,The mountain peak was covered with snow.,山顶被雪覆盖着。
pear,梨子，梨树,,She ate a ripe pear for breakfast.,她早餐吃了一个熟透的梨。
peasant,农民,,The peasants worked in the fields from morning to night.,农民们从早到晚在田里劳作。
peculiar,奇怪的， 古怪的； 特有的；特有的；特别的,,There was a peculiar smell in the room.,房间里有一股奇怪的气味。
peer,仔细看， 费力地看；同龄人；同龄人，同等地位的人；贵族,,He peered through the window to see who was there.,他费力地从窗户往里看，看谁在那里。
pen,钢笔，自来水笔,,Please write with a blue pen.,请用蓝色钢笔写。
penalty,处罚， 惩罚； 罚金；惩罚,,The penalty for cheating is serious.,作弊的惩罚很严重。
pencil,铅笔,,She drew a picture with a pencil.,她用铅笔画了一幅画。
penetrate,穿入；穿过；透入， 渗入， 进入； 刺穿； 洞察， 了解,,The knife can penetrate the skin easily.,这把刀可以轻易刺穿皮肤。
penny,(英)便士；(美)分,,I found a penny on the street.,我在街上找到了一便士。
pension,养老金；养老金，抚恤金；发给…养老金,,My grandfather lives on his pension.,我的祖父靠养老金生活。
people,人民，民族；人,,Many people came to the concert.,很多人来参加了音乐会。
pepper,在…上撒； 使布满；胡椒，胡椒粉,,Could you pass me the pepper?,你能把胡椒递给我吗？
per,每；每， 每一,,The price is ten dollars per person.,价格是每人十美元。
perceive,察觉；察觉，发觉；理解；感知， 感觉， 察觉； 认识到， 意识到； 理解,,I perceive a change in her attitude.,我察觉到她的态度发生了变化。
percent,百分之…,,Fifty percent of the students passed the exam.,百分之五十的学生通过了考试。
percentage,百分比， 百分率；百分比，百分率,,A high percentage of the population uses the internet.,很高比例的人口使用互联网。
perception,感知；感知， 觉察； 认识， 观念， 看法,,His perception of the situation was different from mine.,他对情况的看法与我的不同。
perfect,完美的；完全的,,The weather is perfect for a picnic.,这种天气非常适合野餐。
perform,做， 履行， 完成； 表演， 演出； 工作情况， 表现；履行，执行；演出,,The doctor will perform the surgery tomorrow.,医生明天将进行手术。
performance,履行；演出；行为；演出，履行，表现；演出； 执行， 完成； 工作情况， 表现； 工作性能,,Her performance in the play was excellent.,她在剧中的表演非常出色。
perhaps,也许，可能，多半,,Perhaps it will rain later.,也许稍后会下雨。
period,时期；学时；句号,,The exam period lasts two weeks.,考试期间持续两周。
permanent,永久的；永久的， 固定的；永久的，持久的,,She found a permanent job in the city.,她在城里找到了一份固定的工作。
permission,允许， 许可， 准许；允许，许可，同意,,You need permission to enter this building.,你需要许可才能进入这栋楼。
permit,允许；执照,,Smoking is not permitted in this area.,这个区域不允许吸烟。
persist,坚持， 持续；坚持，固执；持续,,"If you persist in practicing, you will improve.",如果你坚持练习，你会进步的。
persistence,坚持不懈,,Her persistence helped her learn to play the piano.,她的坚持不懈帮助她学会了弹钢琴。
persistent,坚持的， 不屈不挠的； 持续不断的； 反复出现的；持续的，坚持的,,He was persistent in asking questions until he understood.,他坚持提问直到弄明白为止。
person,人；人身；本人,,She is a kind person.,她是一个善良的人。
personal,个人的；本人的,,"This is a personal matter, so I do not want to discuss it.",这是私事，所以我不想讨论。
personality,个性，性格；人格， 个性； 人物， 名人,,She has a friendly personality.,她性格友好。
personnel,人员， 员工；全体人员，全体职员,,All personnel must attend the meeting.,所有员工都必须参加会议。
perspective,视角， 观点； 远景， 景观； 透视画法， 透视图；视角，观点；远景；透视；远景；观点,,Try to see the problem from a different perspective.,试着从不同的角度看这个问题。
persuade,被说服；说服,,I tried to persuade her to come to the party.,我试图说服她来参加派对。
persuasion,劝说,,"After much persuasion, he agreed to help us.",经过多次劝说，他同意帮助我们。
persuasive,劝诱的； 有说服力的,,She gave a persuasive speech about protecting the environment.,她做了一个关于保护环境的有说服力的演讲。
pessimistic,悲观的；悲观的；厌世的,,He is pessimistic about the future of the company.,他对公司的未来感到悲观。
pet,爱畜；宠儿a宠爱的,,She has a pet cat named Mimi.,她有一只叫咪咪的宠物猫。
petrol,(英)汽油；汽油,,The car needs more petrol.,汽车需要加更多汽油。
petroleum,石油,,Petroleum is used to make many products.,石油用来制造许多产品。
phase,阶段； 方面； 相， 相位；阶段；方面；相位,,The project is still in its early phase.,项目仍处于早期阶段。
phenomenon,现象,,The northern lights are a beautiful natural phenomenon.,北极光是一种美丽的自然现象。
philosopher,哲学家；哲学家， 哲人,,Plato was a famous Greek philosopher.,柏拉图是一位著名的希腊哲学家。
philosophy,哲学， 哲理， 人生哲学；哲学；哲理；人生观,,She studied philosophy at university.,她在大学学习哲学。
phone,电话，电话机；耳机,,I need to charge my phone.,我需要给手机充电。
photo,照片，相片,,I took a photo of the sunset.,我拍了一张日落的照片。
photograph,照片，相片,,She hung the photograph on the wall.,她把照片挂在墙上。
phrase,短语；习惯用语,,Please explain the meaning of this phrase.,请解释这个短语的意思。
physical,物质的；物理的；身体上的；身体的； 物理的； 物质的， 有形的,,Regular physical exercise is good for your health.,定期的体育锻炼对你的健康有益。
physician,内科医生；医生，内科医生,,The physician examined the patient carefully.,内科医生仔细检查了病人。
physicist,物理学家,,The physicist won a Nobel Prize for his research.,这位物理学家因其研究获得了诺贝尔奖。
physics,物理学；物理，物理学,,Physics is my favorite subject.,物理是我最喜欢的科目。
piano,钢琴,,She plays the piano very well.,她钢琴弹得很好。
pick,镐，鹤嘴锄,,Please pick a number between one and ten.,请在一到十之间选一个数字。
picky,挑剔的,,My little brother is a picky eater.,我的弟弟是个挑食的人。
picnic,郊游，野餐；野餐,,We had a picnic in the park on Sunday.,我们星期天在公园野餐了。
picture,画；画，图片,,She drew a picture of a flower.,她画了一幅花的画。
pie,(西点)馅饼,,My mother baked an apple pie.,我妈妈烤了一个苹果派。
piece,拼合；碎片，块,,Can I have a piece of cake?,我能吃一块蛋糕吗？
pierce,刺穿， 穿孔于；剌穿；穿入,,The needle will pierce the fabric easily.,针很容易刺穿布料。
pig,猪，小猪，野猪,,The pig is eating in the farm.,猪正在农场里吃东西。
pigeon,鸽子,,A pigeon is standing on the roof.,一只鸽子站在屋顶上。
pile,堆；堆叠，累积,,There is a pile of books on the desk.,桌子上有一堆书。
pill,药丸；药丸，丸剂,,You should take one pill every morning.,你应该每天早上吃一粒药丸。
pillar,柱， 柱子； 栋梁；柱，柱子；栋梁,,The old building has strong stone pillars.,那座老建筑有坚固的石柱。
pillow,枕头,,I need a soft pillow to sleep well.,我需要一个柔软的枕头才能睡好。
pilot,引航员；飞行员；试验性的， 试点的；领航员；飞行员；驾驶；为引航；试验，试用,,The pilot is flying the plane to Beijing.,飞行员正驾机飞往北京。
pin,别住；针，饰针,,She used a pin to fix the paper on the wall.,她用一根别针把纸固定在墙上。
pinch,捏，拧；捏，拧，掐掉；撮， 微量,,He gave my arm a playful pinch.,他开玩笑地捏了一下我的胳膊。
pine,松树，松木；消瘦， 衰弱； 痛苦， 悲哀； 渴望,,Pine trees stay green all year round.,松树一年四季都保持绿色。
pink,粉红色；粉红色的,,The little girl likes wearing pink dresses.,那个小女孩喜欢穿粉红色的裙子。
pint,品脱,,He drank a pint of beer after work.,他下班后喝了一品脱啤酒。
pioneer,开拓，开发；拓荒者；先驱者,,He was a pioneer in the field of medicine.,他是医学领域的先驱。
pipe,管子，导管；烟斗,,The pipe under the sink is leaking water.,水槽下面的管子正在漏水。
pit,使有坑；地洞，坑；煤矿，矿井；坑，地坑；煤矿,,Be careful not to fall into the pit.,小心别掉进坑里。
pitch,投掷；使猛然倒下；表达；把…定于特定程度；定调；投， 掷； 架设， 搭， 营； 颠簸；沥青；球场；程度，强度；高度；音高；沥青,,The crowd cheered when he threw the first pitch.,当他投出第一球时，人群欢呼起来。
pity,同情；怜悯；遗憾,,It is a pity that you missed the concert.,真遗憾你错过了音乐会。
place,地方，地点；住所,,This is a good place to have a picnic.,这是个野餐的好地方。
plague,使困扰,,The city was plagued by traffic jams.,这座城市饱受交通拥堵的困扰。
plain,平原；清楚的,,She made it plain that she disagreed.,她清楚地表明了自己不同意。
plan,计划，打算,,We plan to travel to Japan next summer.,我们计划明年夏天去日本旅行。
plane,平面；飞机,,The plane took off an hour late.,飞机晚点一小时起飞。
planet,行星,,Earth is the third planet from the sun.,地球是离太阳第三近的行星。
plant,工厂；栽种；植物；工厂,,My grandmother waters her plants every day.,我祖母每天给她的植物浇水。
plantation,种植园， 人工林；种植园；栽植,,They work on a large tea plantation.,他们在一个大型茶园里工作。
plastic,可塑的；塑料；塑料的；塑料的；可塑的；塑料， 塑料制品； 信用卡,,This bottle is made of plastic.,这个瓶子是塑料做的。
plate,板，片，盘；电镀,,Please put the plates on the table.,请把盘子放在桌子上。
platform,平台， 站台， 讲台； 纲领， 宣言；平台；站台；讲台,,The train leaves from platform three.,火车从三号站台出发。
play,玩，游戏；演奏,,The children are playing in the park.,孩子们正在公园里玩耍。
player,游戏的人；比赛者,,He is the best player on the team.,他是队里最好的球员。
playground,操场，运动场,,The students are running on the playground.,学生们正在操场上跑步。
pleasant,令人愉快的，舒适的,,The weather today is very pleasant.,今天天气非常宜人。
please,使高兴，请vi满意,,Please close the door when you leave.,离开时请关上门。
pleasure,愉快，快乐；乐事,,It was a pleasure to meet you.,很高兴认识你。
pledge,保证， 许诺；保证，誓言,,He made a pledge to help the poor.,他承诺要帮助穷人。
plentiful,丰富的， 充足的； 大量的；丰富的，富裕的,,The market has plentiful fresh fruit.,市场上有大量新鲜水果。
plenty,丰富，充足，大量,,There is plenty of food for everyone.,有足够的食物给大家。
plot,密谋；密谋， 计划； 绘制…的平面图， 在图上标绘…的位置；小块土地；故事情节；计划，密谋；小块土地,,The movie has an interesting plot.,这部电影的情节很有趣。
plough,犁；犁，耕,,The farmer is ploughing the field.,农夫正在犁地。
plug,塞；塞子；插头；把…塞住， 用…塞住；插头，插座；塞子，栓,,Please plug in the computer.,请把电脑插上电源。
plunge,使投入；使陷入；纵身投入， 猛冲； 猛跌,,He plunged into the cold water.,他纵身跳入冷水中。
plural,复数；复数的,,Cats is the plural form of cat.,"""Cats"" 是 ""cat"" 的复数形式。"
pluralism,多重性； 兼职， 兼任,,The country values cultural pluralism.,这个国家重视文化多元性。
plus,加号， 正号；加，加上；正的；表示加的；正的,,Two plus three equals five.,二加三等于五。
pocket,衣袋；袖珍的,,He put his phone in his pocket.,他把手机放进口袋。
poem,诗；诗，韵文，诗体文,,She wrote a beautiful poem about love.,她写了一首关于爱的优美诗歌。
poet,诗人,,Li Bai is a famous Chinese poet.,李白是中国著名诗人。
poetry,诗， 诗歌， 诗集；诗，诗歌，诗作,,I enjoy reading poetry before bed.,我喜欢睡前读诗。
point,点；要点；细目；分,,I do not understand your point.,我不明白你的意思。
pointless,无意义的,,Arguing with him is pointless.,和他争论是没有意义的。
poison,使中毒；毒害；毒，毒药,,Some mushrooms contain poison.,有些蘑菇含有毒。
poisonous,有毒的，有害的；有毒的； 恶毒的,,Some snakes are poisonous.,有些蛇是有毒的。
pole,杆，柱；杆； 极， 磁极， 电极,,The flag is flying on the pole.,旗帜在旗杆上飘扬。
police,警察；警察当局,,The police arrived at the scene quickly.,警察迅速到达了现场。
policeman,警察,,The policeman helped the old woman cross the street.,警察帮助老妇人过马路。
policy,政策， 方针； 保险单；政策，方针,,The school has a strict no-smoking policy.,学校有严格的禁烟政策。
polish,擦光剂；磨光；使优美；磨光；修改，润色，使优美,,He polished his shoes until they shone.,他把鞋子擦得锃亮。
polite,有礼貌的；有教养的,,It is polite to say thank you.,"说""谢谢""是有礼貌的表现。"
political,政治的，政治上的,,The country is facing a political crisis.,这个国家正面临政治危机。
politician,政治家， 政客；政治家；政客,,The politician gave a speech in the square.,那位政治家在广场上发表了演讲。
politics,政治， 政治学； 政纲， 政见；政治，政治学；政纲,,He is not interested in politics.,他对政治不感兴趣。
poll,对…进行民意测验； 获得；民意测验；政治选举，大选；民意调查,,The latest poll shows the candidate is leading.,最新民意调查显示该候选人领先。
pollute,弄脏， 污染； 腐蚀；弄脏，污染，沾污,,Factories should not pollute the rivers.,工厂不应该污染河流。
pollution,污染；污染， 污染物,,Air pollution is a serious problem.,空气污染是一个严重的问题。
pond,池塘,,There are many fish in the pond.,池塘里有很多鱼。
pool,水塘，游泳池，水池,,The children are swimming in the pool.,孩子们正在游泳池里游泳。
poor,贫穷的；贫乏的,,The poor family needs our help.,那个贫困家庭需要我们的帮助。
pop,流行音乐，流行歌曲；突然出现，跳出,,A balloon popped unexpectedly.,一个气球突然爆了。
popular,民众的；流行的,,This song is very popular among young people.,这首歌在年轻人中很受欢迎。
popularity,普及， 流行； 声望,,Social media popularity can rise quickly.,社交媒体上的流行度可以迅速上升。
popularize,普及,,The TV show helped popularize yoga.,这个电视节目帮助普及了瑜伽。
population,人口；全体居民,,The population of this city is over ten million.,这个城市的人口超过一千万。
pork,猪肉,,I ordered a pork dish for dinner.,我晚餐点了一道猪肉菜。
port,港，港口,,The ship arrived at the port this morning.,船今天早上到达了港口。
portable,便于携带的， 手提式的；轻便的；手提的,,This portable speaker is easy to carry.,这个便携式扬声器很容易携带。
porter,搬运工；搬运工人；搬运工人； 看门人， 大楼管理员,,The porter carried our luggage to the room.,搬运工把我们的行李搬到了房间。
portion,一部分，一份；一部分；一分；分配， 把…分给,,She gave me a large portion of cake.,她给了我一大块蛋糕。
portrait,消像，画像；肖像， 画像,,There is a portrait of the queen on the wall.,墙上挂着一幅女王的肖像。
pose,使摆好姿势；造成，引起；提出，陈述；姿势；摆姿势，装腔作势；摆姿势；假装，装腔作势；样子， 姿势,,She posed for a photo in front of the building.,她在大楼前摆好姿势拍照。
position,位置；职位；姿势；职位,,He applied for the position of manager.,他申请了经理的职位。
positive,确定的；积极的；确实的， 明确的； 积极的， 肯定的,,Try to stay positive even in difficult times.,即使在困难时期也要保持积极。
possess,占用， 拥有；占用，拥有(财产),,She possesses great talent for music.,她拥有很高的音乐天赋。
possession,有， 所有； 所有物；有，所有；占有物,,He lost all his possessions in the fire.,他在火灾中失去了所有财产。
possibility,可能； 可能的事；可能；可能的事,,There is a possibility of rain tomorrow.,明天有可能下雨。
possible,可能的；可能存在的,,Is it possible to finish the work today?,今天有可能完成工作吗？
possibly,可能地；也许,,He could possibly be right about that.,关于那件事他可能是对的。
post,柱，桩，杆；贴出,,Please post this letter for me.,请帮我把这封信寄出去。
postage,邮费， 邮资；邮费，邮资,,The postage for this package is five dollars.,这个包裹的邮费是五美元。
postgraduate,研究生,,She is a postgraduate student at the university.,她是这所大学的研究生。
postman,邮递员,,The postman delivers letters every morning.,邮递员每天早上送信。
postpone,延迟， 延期；延迟，推迟，延缓,,The meeting was postponed until next week.,会议被推迟到了下周。
pot,锅，壶，罐，盆,,She boiled water in a pot.,她用壶烧水。
potato,马铃薯，土豆,,I like eating baked potatoes.,我喜欢吃烤土豆。
potential,有可能的；潜在的；潜力；潜力， 潜能；潜在的；潜在的，可能的,,She has the potential to become a great artist.,她有潜力成为一名伟大的艺术家。
pound,磅；英磅,,The baby weighs about eight pounds.,这个婴儿大约重八磅。
pour,倾泻；灌， 倒； 倾泻；灌，倒,,Please pour me a glass of water.,请给我倒一杯水。
poverty,贫穷， 贫困；贫穷，贫困,,Many people in the world live in poverty.,世界上许多人生活在贫困中。
powder,粉末；药粉；火药；粉， 粉末,,She put some powder on her face.,她往脸上扑了一些粉。
power,能力；力；权；幂,,Knowledge is power.,知识就是力量。
powerful,强大的， 有力的， 有权的； 强壮的， 强健的；强有力的；有权威的,,The engine is very powerful.,这个发动机非常强大。
practical,实践的；实用的,,You need some practical experience.,你需要一些实践经验。
practically,几乎， 简直； 实际上；实际上；几乎,,The work is practically finished.,工作几乎完成了。
practice,实践；练习；业务,,Practice makes perfect.,熟能生巧。
practise,练习，实习，训练,,You should practise the piano every day.,你应该每天练习钢琴。
praise,赞扬；赞扬，赞美,,The teacher praised her for her hard work.,老师称赞她学习努力。
pray,祈祷， 祈求； 请求， 恳求；请求；祈祷,,They pray together every evening.,他们每天晚上一起祈祷。
prayer,祷告， 祈祷； 祷文； 祈求， 祈望,,She said a prayer before going to bed.,她睡前做了祷告。
precaution,预防； 防备， 警惕；预防；警惕,,You should take precaution against the cold.,你应该采取预防措施防止感冒。
preceding,在前的， 在先的， 前面的；在前的；在先的,,Please read the preceding chapter first.,请先阅读前一章。
precious,珍贵的， 宝贵的；珍贵的，宝贵的,,This ring is very precious to me.,这枚戒指对我来说非常珍贵。
precise,精确的， 准确的； 严谨的；精确的，准确的,,Please give me the precise address.,请给我准确的地址。
precision,精确， 精密；精确，精密，精密度,,The machine cuts with great precision.,这台机器切割非常精确。
predict,预言， 预告， 预测；预言，预告，预测；预言，预测，预告,,It is hard to predict the weather in spring.,春天的天气很难预测。
predictable,可预料的,,The ending of the movie was predictable.,电影的结局是可以预料到的。
preface,序言， 前言， 引言；序言，前言，引语,,The book has a preface written by the author.,这本书有作者写的序言。
prefer,宁可，宁愿,,I prefer tea to coffee.,比起咖啡，我更喜欢茶。
preferable,更可取的， 更好的， 更合意的；更可取的，更好的,,A quiet place is preferable for studying.,安静的地方更适合学习。
preference,偏爱；偏爱，优先；优先权；喜爱， 偏爱； 偏爱的事物； 优先,,She has a preference for classical music.,她偏爱古典音乐。
preferentially,优先地,,The system treats returning customers preferentially.,该系统优先对待回头客。
pregnant,怀孕的；怀孕的， 妊娠的,,My sister is pregnant with her first child.,我姐姐怀了她的第一个孩子。
prejudice,使有偏见； 对…不利， 损害；偏见；偏见，成见,,We should not have prejudice against others.,我们不应该对别人有偏见。
preliminary,初步做法， 起始行为；预备的，初步的,,The team did some preliminary research.,团队做了一些初步研究。
preparation,准备， 预备； 制剂；准备，预备；制备,,She made careful preparation for the exam.,她为考试做了仔细的准备。
prepare,做准备；准备，预备,,You need to prepare for the interview.,你需要为面试做准备。
preposition,介词；前置词，介词,,In is a common preposition.,"""In"" 是一个常见的介词。"
prescribe,命令；处(方)；开； 吩咐采用； 规定， 指定,,The doctor prescribed some medicine for my cough.,医生为我的咳嗽开了一些药。
prescription,处方,,You need a prescription to buy this medicine.,你需要处方才能买这种药。
presence,出席， 到场； 存在； 仪表， 仪态；出席，到场；在,,Your presence at the meeting is required.,你需要出席会议。
present,现在的；目前,,She gave me a nice birthday present.,她给了我一份很好的生日礼物。
presentation,提供， 显示； 外观， 图像； 授予， 赠送； 报告， 介绍； 表演,,He gave a presentation about climate change.,他做了一个关于气候变化的报告。
presently,一会儿；目前；不久， 一会儿； 现在， 目前,,The doctor will see you presently.,医生很快就会见你。
preservation,保存，保留,,The preservation of old buildings is important.,保护老建筑很重要。
preserve,保护；保护， 维持； 保存； 腌制；保护；保存；腌渍,,We must preserve the environment for future generations.,我们必须为子孙后代保护环境。
president,总统；校长；会长,,The president gave a speech on TV.,总统在电视上发表了演讲。
press,压，按，揿；催促,,Please press this button to start.,请按这个按钮启动。
pressure,压力；压力；压，按；压，压强；压迫；对…施加压力， 迫使,,He is under a lot of pressure at work.,他工作压力很大。
presumably,大概， 可能， 据推测,,"Presumably, he will arrive on time.",大概他会准时到达。
pretend,假托，借口vi假装；装作， 假装,,The boy pretended to be a superhero.,那个男孩假装自己是超级英雄。
pretty,漂亮的，标致的,,She looks pretty in that dress.,她穿那条裙子很好看。
prevail,流行， 盛行；流行，盛行；胜，优胜；流行,,Justice will always prevail.,正义终将获胜。
prevent,预防；预防，防止；阻止,,Washing hands can prevent diseases.,洗手可以预防疾病。
preventable,可预防的,,Many diseases are preventable.,许多疾病是可以预防的。
preventive,预防性的,,We should take preventive measures against hackers.,我们应该采取预防措施防范黑客。
previous,之前的；先前地；先的， 前的； 以前的；先的；前的；在前,,I have previous experience in teaching.,我有以前的教学经验。
previously,事先,,She previously worked as a teacher.,她以前当过老师。
price,价格，价钱；代价,,The price of gas has gone up.,汽油价格上涨了。
pride,自夸；骄傲；自豪,,He takes pride in his work.,他为自己的工作感到自豪。
priest,神父， 牧师,,The priest led the morning prayer.,牧师主持了早祷。
primarily,主要地，首先；首先； 主要地；首先；主要地,,The course is primarily designed for beginners.,这门课主要是为初学者设计的。
primary,主要的，基本的；最初的；基本的；首要的， 主要的； 基本的； 最初的， 初级的,,Reading is my primary goal for today.,阅读是我今天的主要目标。
prime,使准备好；春，青春；青春；全盛时期；首要的；首要的；最好的,,Spring is the prime season for planting flowers.,春天是种花的黄金季节。
primitive,原人； 原始事物；原始的，早期的；简单的；粗糙的；原始的；简单的；原始的；粗糙的,,Primitive people used simple tools made of stone.,原始人使用简单的石器工具。
prince,王子，亲王,,The prince lived in a large castle.,王子住在一座大城堡里。
princess,公主，王妃,,The princess wore a beautiful dress.,公主穿着一条漂亮的裙子。
principal,主要的；最重要的，主要的；负责人；负责人， 校长； 资本， 本金； 主要演员， 主角,,The principal gave a speech at the morning assembly.,校长在晨会上发表了讲话。
principle,原则， 原理， 道义； 基本信念， 信条；原则，原理；原则，原理；主义,,It is important to stick to your principles.,坚持自己的原则很重要。
print,印刷；印刷；正片,,Please print your name on this form.,请在这张表格上打印你的名字。
prior,在先的；优先的；在前的； 优先的,,"I had a prior appointment, so I could not come.",我事先有约，所以没能来。
priority,优先， 重点； 优先考虑的事；优先，优先权,,My priority is to finish my homework first.,我的首要任务是先完成家庭作业。
prison,监狱，监禁,,The thief was sent to prison for five years.,那个小偷被判入狱五年。
prisoner,囚犯,,The prisoner was locked in a small cell.,囚犯被锁在一间小牢房里。
privacy,隐私,,Everyone needs some privacy sometimes.,每个人有时都需要一些隐私。
private,士兵， 列兵；私人的；私人的；私下的；私人的；秘密的；私下的；私营的,,This is a private conversation between us.,这是我们之间的私人谈话。
privilege,特权，优惠；特权； 优惠,,It is a privilege to study at this school.,在这所学校学习是一种荣幸。
prize,奖赏，奖金；珍视,,She won first prize in the competition.,她在比赛中赢得了一等奖。
probability,可能性；概率,,There is a high probability of rain today.,今天下雨的可能性很大。
probable,很可能的， 大概的；或有的；大概的,,It is probable that he will arrive late.,他很有可能会迟到。
probably,或许，大概,,I will probably go to the park tomorrow.,我明天可能会去公园。
problem,问题；习题，问题,,Can you help me solve this math problem?,你能帮我解这道数学题吗？
procedure,程序；程序， 手续， 步骤；程序；手续；过程,,Follow the safety procedure carefully.,请仔细遵守安全程序。
proceed,继续进行； 行进， 前进；进行；继续进行,,Please proceed to the next room.,请继续前往下一个房间。
process,加工；加工； 办理；处理；过程，进程；工序；(法律)程序；过程；制作法；程序；过程；工序,,Learning a language is a slow process.,学习语言是一个缓慢的过程。
procession,队伍， 行列；队伍，行列,,A long procession walked through the street.,一支长长的队伍穿过了街道。
produce,生产；产生；展现,,This factory produces cars.,这家工厂生产汽车。
product,产品， 产物； 乘积；产品，产物；(乘)积,,This product is made in China.,这个产品是中国制造的。
production,生产；产品；总产量,,The production of this movie took two years.,这部电影的制作花了两年时间。
productive,富有成效的,,It was a very productive day at work.,今天工作非常高效。
profession,职业；职业； 声明， 表白,,Teaching is a noble profession.,教师是一种崇高的职业。
professional,专业人员；专业的；职业的；职业的，专业的，专门的；自由职业者， 专业人员,,She is a professional photographer.,她是一名专业摄影师。
professor,教授,,The professor gave a very interesting lecture.,教授做了一场非常有趣的讲座。
profile,为…描绘； 写…的传略；侧面；人物简介；轮廓，形象；姿态，引人注目的状态,,She has a high profile in the music industry.,她在音乐界知名度很高。
profit,受益；得益；有益于，有利于；益处；利润；益处；利润，收益,,The company made a large profit this year.,这家公司今年获得了巨额利润。
profitable,有利可图的，有益的,,This business is very profitable.,这个生意利润丰厚。
profound,深厚的,,The book had a profound effect on me.,这本书对我产生了深远的影响。
program,节目单；大纲；程序,,I watched a great program on TV last night.,我昨晚在电视上看了一个很棒的节目。
programmer,程序设计员,,My brother is a computer programmer.,我哥哥是一名计算机程序员。
programming,编程；计划，节目(单)，程序；,,He is learning programming at school.,他在学校学习编程。
progress,前进，进展；进步,,You have made good progress in English.,你在英语方面取得了很大的进步。
progressive,前进的； 渐进的； 进行式的；进步的；向前进的,,The school has a progressive teaching method.,这所学校采用先进的教学方法。
prohibit,禁止， 不准；禁止，阻止；禁止，阻止，防止,,Smoking is prohibited in this building.,这栋楼内禁止吸烟。
prohibitively,过分地，非常地,,The price was prohibitively expensive.,价格高得令人望而却步。
project,伸出；伸出； 投射； 预计；工程，作业；方案， 计划； 课题， 项目； 工程；方案，工程,,We are working on a science project.,我们正在做一个科学项目。
prolong,拉长， 延长,,The medicine may prolong your life.,这种药可能会延长你的生命。
prominent,实起的；突出的；杰出的，突起的，凸出的；突出的， 杰出的； 突起的， 凸出的,,She is a prominent scientist in her field.,她是她所在领域的杰出科学家。
promise,允诺；诺言；指望,,He made a promise to help me.,他承诺要帮助我。
promising,有希望的，有前途的,,He is a promising young musician.,他是一位有前途的年轻音乐家。
promote,促进， 增进， 发扬； 提升； 宣传， 推销；促进，发扬；提升；促进，提升，推销,,The company wants to promote its new product.,公司想要推广它的新产品。
